"Source:","C:\Users\brend\Documents\Effects\Hammond Pedal Enclosures\HT\HT_1590BB\HT_1590BB.kicad_sch"
"Date:","6/6/2022 7:48:19 PM"
"Tool:","Eeschema (6.0.5)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","67"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"14","1","FX_OUT1","FX_OUT","Connector:Conn_01x01_Female","Connector_Wire:SolderWire-1sqmm_1x01_D1.4mm_OD2.7mm","~"
"15","1","GND1","GND","Connector:Conn_01x01_Female","Connector_Wire:SolderWire-1sqmm_1x01_D1.4mm_OD2.7mm","~"
"16","1","INPUT1","INPUT","Connector:Conn_01x01_Female","Connector_Wire:SolderWire-1sqmm_1x01_D1.4mm_OD2.7mm","~"
"17","1","J7","INPUT_JACK","Connector:AudioJack2_Switch","Connector_Audio:Jack_6.35mm_Neutrik_NMJ4HCD2_Horizontal","~"
"18","1","J8","OUPUT_JACK","Connector:AudioJack2_Switch","Connector_Audio:Jack_6.35mm_Neutrik_NMJ4HCD2_Horizontal","~"
"19","1","JLED2","LED2","Connector:Conn_01x01_Female","Connector_Wire:SolderWire-1sqmm_1x01_D1.4mm_OD2.7mm","~"
"20","1","LED1","LED1","Connector:Conn_01x01_Female","Connector_Wire:SolderWire-1sqmm_1x01_D1.4mm_OD2.7mm","~"
"21","1","OUTPUT1","OUTPUT","Connector:Conn_01x01_Female","Connector_Wire:SolderWire-1sqmm_1x01_D1.4mm_OD2.7mm","~"
"22","1","Q1","Q_NJFET_DSG","Device:Q_NJFET_DSG","Package_TO_SOT_THT:TO-92_Inline_Wide","~"
"23","9","R1, R2, R6, R9, R11, R17, R18, R31, R32","22k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"24","5","R3, R7, R13, R14, R16","1Meg","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"25","6","R4, R5, R20, R23, R25, R26","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"26","2","R8, R27","47k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"27","6","R10, R12, R28, R29, R30, R34","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"28","1","R15","2.2k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"29","1","R19","27k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"30","2","R21, R33","10k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"31","1","R22","4.7k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"32","1","R24","470k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"33","1","Rate1","Rate","Device:R_Potentiometer","1590BB:Alpha_16mm_PCB_RA","~"
"34","1","RV1","250k","Device:R_Potentiometer_Dual_Separate","1590BB:Alpha_16mm_PCB_RA_Dual","~"
"35","1","RV3","Mix","Device:R_Potentiometer","1590BB:Alpha_16mm_PCB_RA","~"
"36","1","U1","TL074","Amplifier_Operational:TL074","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"37","1","U2","LM324","Amplifier_Operational:LM324","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/lm2902-n.pdf"
"38","1","U3","LM358","Amplifier_Operational:LM358","Package_DIP:DIP-8_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf"
"39","2","U4, U5","VTL5C","Isolator:VTL5C","Vactrol:Vactrol","http://www.qsl.net/wa1ion/vactrol/vactrol.pdf"
"40","1","Waveform1","Waveform","Device:R_Potentiometer","1590BB:Alpha_16mm_PCB_RA","~"
